"ID","Year","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","NAL","TET","MER"
210023843,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023844,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023845,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023848,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023852,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023854,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023858,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025215,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025218,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210025257,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025270,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025273,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025274,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025275,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025277,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025279,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025281,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025285,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210025286,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026174,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210026180,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026184,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210026189,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026193,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026198,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026213,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026222,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026232,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026239,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026242,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210026244,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026249,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026251,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210026254,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026258,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210026260,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210026266,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027491,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027494,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210027497,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027506,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027508,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027511,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027514,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027518,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027522,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027528,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210027535,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027537,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210027541,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210029198,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210029203,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210029208,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210029215,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210029216,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210029217,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210029220,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030339,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030342,2013,0,1,0,0,1,0,0,1,0,0,0,1,NA
210030345,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030349,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030352,2013,0,1,0,0,1,0,0,1,0,0,0,1,NA
210030356,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210030359,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030363,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030367,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030370,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030371,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030372,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210030374,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
