"ID","Year","AMC","AMP","AXO","CHL","CIP","COT","FIS","FOX","GEN","NAL","TET","AZI","MER","SMX"
"07OR09GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR09GB04",2007,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR09GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR09GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR09GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR10GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR10GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR10GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR10GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR10GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR11GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR11GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR11GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR11GB06",2007,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07OR11GB07",2007,0,1,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR11GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR12GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR12GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR12GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR12GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR12GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR12GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN01GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN03GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN03GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN03GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN03GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN03GB07",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN03GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN03GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN04GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN04GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN04GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN04GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN05GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN05GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN05GB03",2007,0,1,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07TN05GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN05GB05",2007,0,1,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07TN05GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN05GB08",2007,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07TN05GB09",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN05GB10",2007,0,1,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07TN06GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB02",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN06GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN06GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN07GB01",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN07GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN07GB03",2007,0,1,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07TN07GB04",2007,0,1,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07TN07GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN08GB01",2007,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN08GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN08GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN08GB04",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN08GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN08GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN08GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN08GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
