"source","sample_size","mean_genes","sd_genes","lower_ci","upper_ci"
"NARMS_MEAT",196,67.62,6.78646900944531,66.2898520741487,68.9501479258513
"NARMS_MEAT",226,70.23,5.80117542948292,69.0929696158213,71.3670303841787
"NARMS_MEAT",260,72.9,5.37577807382242,71.8463474975308,73.9536525024692
"NARMS_MEAT",300,74.27,5.14605860750917,73.2613725129282,75.2786274870718
"NARMS_MEAT",346,76.85,4.643611882267,75.9398520710757,77.7601479289243
"NARMS_MEAT",399,78.9,3.66391081008291,78.1818734812238,79.6181265187763
"NARMS_MEAT",461,80.01,3.56326657533066,79.3115997512352,80.7084002487648
"NARMS_MEAT",531,81.93,3.31283088684715,81.280685146178,82.5793148538221
"NARMS_MEAT",613,83.39,2.70014964044737,82.8607706704723,83.9192293295277
"NARMS_MEAT",707,84.6,2.35273320530687,84.1388642917598,85.0611357082401
"NARMS_MEAT",815,86.22,1.69121317999891,85.8885222167202,86.5514777832798
"NARMS_MEAT",940,87.3,1.14150352738408,87.0762653086327,87.5237346913673
"NARMS_MEAT",1084,88,0,88,88
"NARMS_CECAL",1,6.46,4.05123749643553,5.66595745069864,7.25404254930136
"NARMS_CECAL",2,9.38,4.84253043460761,8.43086403481691,10.3291359651831
"NARMS_CECAL",3,12.19,5.93686479855855,11.0263744994825,13.3536255005175
"NARMS_CECAL",4,13.49,6.83055375840529,12.1512114633526,14.8287885366474
"NARMS_CECAL",5,16.39,6.6193701064422,15.0926034591373,17.6873965408627
"NARMS_CECAL",6,19.15,8.30160627027485,17.5228851710261,20.7771148289739
"NARMS_CECAL",7,19.38,7.50727593200036,17.9085739173279,20.8514260826721
"NARMS_CECAL",8,20.71,7.40228602418458,19.2591519392598,22.1608480607402
"NARMS_CECAL",9,23.46,8.06716752765132,21.8788351645803,25.0411648354197
"NARMS_CECAL",10,22.73,7.42756944624471,21.274196388536,24.185803611464
"NARMS_CECAL",12,26.04,8.55985461974157,24.3622684945306,27.7177315054693
"NARMS_CECAL",14,27.47,8.51908730351136,25.8002588885118,29.1397411114882
"NARMS_CECAL",16,30.68,8.6548637578339,28.9836467034646,32.3763532965354
"NARMS_CECAL",18,31.33,7.82001446690646,29.7972771644863,32.8627228355137
"NARMS_CECAL",21,33.65,7.56837519090478,32.1665984625827,35.1334015374173
"NARMS_CECAL",24,37.18,7.31178652739686,35.7468898406302,38.6131101593698
"NARMS_CECAL",28,38.98,7.76937785947062,37.4572019395438,40.5027980604562
"NARMS_CECAL",33,41.68,7.51279044044356,40.2074930736731,43.1525069263269
"NARMS_CECAL",38,44.62,7.28604588555855,43.1919350064305,46.0480649935695
"NARMS_CECAL",44,47.45,7.67571929311297,45.9455590185499,48.9544409814501
"NARMS_CECAL",50,48.45,7.6980582623218,46.9411805805849,49.9588194194151
"NARMS_CECAL",58,51.27,7.24304612519603,49.8503629594616,52.6896370405384
"NARMS_CECAL",67,52.73,7.22629178273981,51.313646810583,54.146353189417
"NARMS_CECAL",78,54.78,6.37320780908467,53.5308512694194,56.0291487305806
"NARMS_CECAL",90,58.42,5.37517676477018,57.366465354105,59.473534645895
"NARMS_CECAL",104,61.29,5.14692219494409,60.281203249791,62.298796750209
"NARMS_CECAL",120,61.57,5.30533369888885,60.5301545950178,62.6098454049822
"NARMS_CECAL",139,64.22,4.83167160567132,63.2729923652884,65.1670076347116
"NARMS_CECAL",161,66.18,4.77658430007862,65.2437894771846,67.1162105228154
"NARMS_CECAL",186,67.96,4.27092590439217,67.1228985227391,68.7971014772609
"NARMS_CECAL",215,70.48,4.45511849540288,69.606796774901,71.353203225099
"NARMS_CECAL",249,71.75,3.78827270679001,71.0074985494692,72.4925014505308
"NARMS_CECAL",288,73.29,3.77202622183116,72.5506828605211,74.0293171394789
"NARMS_CECAL",333,74.32,3.68145777011381,73.5984342770577,75.0415657229423
"NARMS_CECAL",385,76.5,3.75109411648216,75.7647855531695,77.2352144468305
"NARMS_CECAL",445,78.57,2.99243153048595,77.9834834200248,79.1565165799752
