"ID","Year","SOURCE","Drugcode","MIC_SIGN","MIC","Minimum","Maximum"
"17CO10GB10",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO10GB10",2017,"Retail Ground Beef","FOX","=",2,2,2
"17CO10GB10",2017,"Retail Ground Beef","GEN","=",2,2,2
"17CO10GB10",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO10GB10",2017,"Retail Ground Beef","NAL","=",2,2,2
"17CO10GB10",2017,"Retail Ground Beef","STR","=",16,16,16
"17CO10GB10",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO12GB05",2017,"Retail Ground Beef","AMC","=",4,4,4
"17CO12GB05",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO12GB05",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO12GB05",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO12GB05",2017,"Retail Ground Beef","CHL","=",8,8,8
"17CO12GB05",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO12GB05",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO12GB05",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO12GB05",2017,"Retail Ground Beef","FOX","=",4,4,4
"17CO12GB05",2017,"Retail Ground Beef","GEN","=",1,1,1
"17CO12GB05",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO12GB05",2017,"Retail Ground Beef","NAL","=",2,2,2
"17CO12GB05",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO12GB05",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA01GB02",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA01GB02",2017,"Retail Ground Beef","AMP","=",4,4,4
"17GA01GB02",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB02",2017,"Retail Ground Beef","AZI","=",8,8,8
"17GA01GB02",2017,"Retail Ground Beef","CHL","=",8,8,8
"17GA01GB02",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB02",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB02",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB02",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB02",2017,"Retail Ground Beef","GEN","=",0,0,0
"17GA01GB02",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB02",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA01GB02",2017,"Retail Ground Beef","STR",">",64,64.1,99999
"17GA01GB02",2017,"Retail Ground Beef","TET",">",32,32.1,99999
"17GA01GB03",2017,"Retail Ground Beef","AMC","=",8,8,8
"17GA01GB03",2017,"Retail Ground Beef","AMP","=",4,4,4
"17GA01GB03",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB03",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA01GB03",2017,"Retail Ground Beef","CHL","=",4,4,4
"17GA01GB03",2017,"Retail Ground Beef","CIP","=",0,0,0
"17GA01GB03",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB03",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB03",2017,"Retail Ground Beef","FOX","=",8,8,8
"17GA01GB03",2017,"Retail Ground Beef","GEN","<=",0,0,0
"17GA01GB03",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB03",2017,"Retail Ground Beef","NAL","=",4,4,4
"17GA01GB03",2017,"Retail Ground Beef","STR","=",4,4,4
"17GA01GB03",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA01GB04",2017,"Retail Ground Beef","AMC","=",8,8,8
"17GA01GB04",2017,"Retail Ground Beef","AMP",">",32,32.1,99999
"17GA01GB04",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB04",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA01GB04",2017,"Retail Ground Beef","CHL",">",32,32.1,99999
"17GA01GB04",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB04",2017,"Retail Ground Beef","COT","=",0,0,0
"17GA01GB04",2017,"Retail Ground Beef","FIS",">",256,256.1,99999
"17GA01GB04",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB04",2017,"Retail Ground Beef","GEN","=",2,2,2
"17GA01GB04",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB04",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA01GB04",2017,"Retail Ground Beef","STR","=",64,64,64
"17GA01GB04",2017,"Retail Ground Beef","TET",">",32,32.1,99999
"17GA01GB06",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA01GB06",2017,"Retail Ground Beef","AMP","=",2,2,2
"17GA01GB06",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB06",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA01GB06",2017,"Retail Ground Beef","CHL","=",8,8,8
"17GA01GB06",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB06",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB06",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB06",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB06",2017,"Retail Ground Beef","GEN","=",1,1,1
"17GA01GB06",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB06",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA01GB06",2017,"Retail Ground Beef","STR","=",8,8,8
"17GA01GB06",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA01GB07",2017,"Retail Ground Beef","AMC","=",2,2,2
"17GA01GB07",2017,"Retail Ground Beef","AMP","<=",1,0,1
"17GA01GB07",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB07",2017,"Retail Ground Beef","AZI","=",1,1,1
"17GA01GB07",2017,"Retail Ground Beef","CHL","<=",2,0,2
"17GA01GB07",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB07",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB07",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB07",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB07",2017,"Retail Ground Beef","GEN","<=",0,0,0
"17GA01GB07",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB07",2017,"Retail Ground Beef","NAL","=",1,1,1
"17GA01GB07",2017,"Retail Ground Beef","STR","=",8,8,8
"17GA01GB07",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA01GB08",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA01GB08",2017,"Retail Ground Beef","AMP","=",4,4,4
"17GA01GB08",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB08",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA01GB08",2017,"Retail Ground Beef","CHL","=",8,8,8
"17GA01GB08",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB08",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB08",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB08",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB08",2017,"Retail Ground Beef","GEN","=",0,0,0
"17GA01GB08",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB08",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA01GB08",2017,"Retail Ground Beef","STR","=",8,8,8
"17GA01GB08",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA01GB09",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA01GB09",2017,"Retail Ground Beef","AMP","=",4,4,4
"17GA01GB09",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB09",2017,"Retail Ground Beef","AZI","=",8,8,8
"17GA01GB09",2017,"Retail Ground Beef","CHL","=",8,8,8
"17GA01GB09",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB09",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB09",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB09",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB09",2017,"Retail Ground Beef","GEN","=",0,0,0
"17GA01GB09",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB09",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA01GB09",2017,"Retail Ground Beef","STR","=",4,4,4
"17GA01GB09",2017,"Retail Ground Beef","TET",">",32,32.1,99999
"17GA01GB10",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA01GB10",2017,"Retail Ground Beef","AMP","=",2,2,2
"17GA01GB10",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA01GB10",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA01GB10",2017,"Retail Ground Beef","CHL","=",4,4,4
"17GA01GB10",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA01GB10",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA01GB10",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA01GB10",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA01GB10",2017,"Retail Ground Beef","GEN","=",0,0,0
"17GA01GB10",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA01GB10",2017,"Retail Ground Beef","NAL","=",1,1,1
"17GA01GB10",2017,"Retail Ground Beef","STR","=",8,8,8
"17GA01GB10",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA02GB01",2017,"Retail Ground Beef","AMC","=",8,8,8
"17GA02GB01",2017,"Retail Ground Beef","AMP","=",8,8,8
"17GA02GB01",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA02GB01",2017,"Retail Ground Beef","AZI","=",8,8,8
"17GA02GB01",2017,"Retail Ground Beef","CHL","=",4,4,4
"17GA02GB01",2017,"Retail Ground Beef","CIP","=",0,0,0
"17GA02GB01",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA02GB01",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA02GB01",2017,"Retail Ground Beef","FOX","=",8,8,8
